,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3526,10.1016/j.jpowsour.2017.03.144,2017-04-06,Journal of Power Sources,1.073,19.85,0.7,14.91,100.0,1.6,MAPbI,nip,10.1016/j.jpowsour.2017.03.144,17,Journal of Power Sources,2017-04-06
3527,10.1002/adfm.201809194,2019-05-02,Advanced Functional Materials,1.06,19.43,0.7240000000000001,14.91,100.0,,CsFAMAPbBrI,pin,10.1002/adfm.201809194,52,Advanced Functional Materials,2019-05-02
3528,10.1016/j.electacta.2018.02.026,2018-02-06,Electrochimica Acta,1.012,18.74,0.79,14.92,100.0,1.6,MAPbI,nip,10.1016/j.electacta.2018.02.026,14,Electrochimica Acta,2018-02-06
3529,10.1039/c6ta10605f,2017-02-10,Journal of Materials Chemistry A,0.96,21.3,0.73,14.92,100.0,,MAPbI,nip,10.1039/c6ta10605f,62,Journal of Materials Chemistry A,2017-02-10
3530,10.1039/c5nr07395b,2015-12-10,Nanoscale,0.986,21.63,0.7,14.92,100.0,1.6,MAPbI,nip,10.1039/c5nr07395b,112,Nanoscale,2015-12-10
3531,10.1016/j.dyepig.2019.04.053,2019-04-23,Dyes and Pigments,1.056,20.85,0.68,14.92,100.0,1.62,MAPbBrI,nip,10.1016/j.dyepig.2019.04.053,9,Dyes and Pigments,2019-04-23
3532,10.1002/ente.201600517,2016-09-16,Energy Technology,1.018,20.84,0.7,14.93,100.0,1.6,MAPbI,nip,10.1002/ente.201600517,20,Energy Technology,2016-09-16
3533,10.1021/acsaem.7b00300,2018-01-25,ACS Applied Energy Materials,1.01,20.82,0.72,14.94,100.0,1.6,MAPbI,pin,10.1021/acsaem.7b00300,34,ACS Applied Energy Materials,2018-01-25
3534,10.1063/1.4998630,2017-12-19,Journal of Applied Physics,0.98,22.4,0.682,14.94,100.0,1.6,MAPbI,nip,10.1063/1.4998630,15,Journal of Applied Physics,2017-12-19
3535,10.1021/acsami.7b09146,2017-09-26,ACS Applied Materials & Interfaces,1.04,20.17,0.706,14.94,100.0,1.6,MAPbI,nip,10.1021/acsami.7b09146,19,ACS Applied Materials & Interfaces,2017-09-26
3536,10.1021/acsami.6b00084,2016-04-28,ACS Applied Materials & Interfaces,1.031,20.1,0.721,14.94,100.0,1.6,MAPbI,pin,10.1021/acsami.6b00084,54,ACS Applied Materials & Interfaces,2016-04-28
